District,Latitude,Longitude
1 Devas Tok Khard Navda Phata,22.9675929,76.0534454
"2 Jabalpur Mausan, Kachhpura, Barnutiraha, Khital",23.1685786,79.9338798
"3 Jabalpur Kalari, Mohtas, Gausalpur, Sanaskara",23.1685786,79.9338798
"4 Jabalpur Bajrangwada, Bargi Mohala 7 11 -do-",23.1685786,79.9338798
"5 Jabalpur Chakahanala, Burjhai Tiraha, Moiliya",23.1685786,79.9338798
"6 Jabalpur Usvair Tiraha, Kadrakhada, Kevalachi 7 19 -do-",23.1685786,79.9338798
7 Bhopal Samardha 12 12 Blind turn,23.1993685,77.4588165
9 Bhopal Anandnagar 12 11 Populated area and business road,23.251231,77.4897316
10 Bhopal Ayodhaya Bypass 12 13 Movement of small vehicles due to,23.2651336,77.4677245
,,
"11 Bhopal Sihore Bypass 12 11 Overspeeding, rural road connecting",23.2599333,77.412615
,,
,,
13 Mandsor Suthod 31 10 -do-,24.2547314,74.9990454
"14 Mandsor Piplayamandi Chaupati, Bahi Pasharvnath",24.1724768,74.9935581
15 Shivpuri Near Vill. Ishvari and between Kulhari 3 13 narrow and bad condition of road,25.4320478,77.6643815
16 Shivpuri Kasba Badwas,25.4320478,77.6643815
19 Shivpuri Between New Amola,25.4320478,77.6643815
20 Shivpuri From Padora,25.4320478,77.6643815
,,
22 Neemach 31 12,24.4668193,74.8642506
23 Neemach Sagar Gram Pulia,23.9259385,78.8382644
,,
(7 kms)pulia,22.9734229,78.6568942
