District,Latitude,Longitude
Thane/Manor Kude to Sativali,19.4053683,72.8722597
Thane/Ghoti Old kasara Ghat,17.2615469,74.1773368
 Satara/Karad Kashil 4 26 Steep Slope,17.277693,74.1843535
10 Thane/Shahapur Kalambe 3 26 Sharp Curve& Steep,19.4520777,73.3279586
 Thane/Charoti Amboli 8 22 Road Crossing Junction,19.2183307,72.9780897
Raigad/Mahad Sukeli Phata,17.277693,74.1843535
,,
Jalgaon/Paldhi Avtar Dhaba,18.7579953,73.5544083
Pune/Vadgaon Center Chowk,18.4659813,73.8246309
,,
,,
Kolhapur/Ujalaiwadi Topgaon to Kasar Wadi 4 11 ‘T’ Junction and Steep,16.6687108,74.2689603
Raigad/Palaspe Jeetegaon 17 10 Sharp Curve,18.9535078,73.1290596
