District,Latitude,Longitude
,,
,,
1. Panapakkam Road JN. 1. Pedestrian Crossing 1. Ambulance may be parked near,13.481482,79.1958302
3. Baluchetty chatram By-Pass 4. Ariyaperum-bakkam Road JN. 5. Chitherimedu JN. Between 3 km,12.8777933,79.6195342
,,
1. Paranu Bus stop 1/2 Km 2. Paranur Bridge 1 km 3. Rajakulipettai 1 km 4. Pulipakkam JN road 2 km 5. Pazhzveli hills 1/2 km 6. Pazhaveli near Vaigai Hotel - 1,12.6701717,79.9574393
7. Vithiya Sagar Womens College,12.656491,79.959583
Vethanarayanapuram 1/2,12.657718,79.9633574
7 Kancheepuram D-4 Otteri,13.0897198,80.2537799
3 Kancheepuram Sriperum-,12.9624975,79.9452748
budurMevalurkuppam Irungattukottai,12.9948978,80.0014706
Pennalore Mambakkam. between 3.5 KM.42 Kancheepuram Baluchetty,12.8777933,79.6195342
,,
Kancheepuram B3-Kanchi,12.818456,79.6946586
"Paranur Bridge, Pulipakkam",12.7307811,79.9839052
"Vethanarayanapuram,",12.657718,79.9633574
4 Kancheepuram S.V.Chatram Thirumangalam Senthamangalam,12.9245859,79.8789943
Dharkas Pillaichatram. 3 KM.42 7,11.3499632,79.8132992
45 455 Kancheepuram D2 CH,12.818456,79.6946586
6 Kancheepuram Guduvan-,12.8438835,80.0597364
chery PSThailavarm to Urapakkam Juction,12.8673697,80.0698575
,,
2. Mailam x road,12.1227548,79.625264
"3. Kedipattu 4. Sendur x road, between 4 KM. 3. Drunken Driving 3. Over bridge 1. Mundiyam-pakkam Jn 1. Pedestrian Crossing 1. Caution Board 2. Sithani 2. Vehicle Crossing 2. Speed Breaker 3. Vikravandi Bybass 3. rash driving 3. Tower lighting requirement 4. Sriya college to tolgat between",12.0375484,79.5461681
13 Villupuram Viluppuram,11.9570395,79.4877197
,,
Vazhudharetti by pass to Viluppuram Town between 5 KM,11.9401378,79.4861449
15 Villupuram Tiruvennai-,11.9401378,79.4861449
16 Villupuram Tirunavalur Kedilam road bypass Jn between,11.9401378,79.4861449
1. Trichy bypass,10.7063285,78.7276316
2. Salem Bypass between 4 KM458 Kancheepuram D6.Maraima,12.818456,79.6946586
Kattankulathur 3 Km Maraimalai,12.8230044,80.0447242
10 Villupuram TindivanamRash driving 62,12.2266754,79.6503543
Tindivanam Junction Between 2,12.2266754,79.6503543
KM.9 Villupuram Olakkur 45,12.3079852,79.7189541
45 27Viluppuram Bypass crossing and,11.9401378,79.4861449
gingee bypass crossing51,12.2529068,79.4160149
12 Villupuram Vikravandi 45 5011 Villupuram Mailam 45,11.9300395,79.4763868
14 Villupuram Ulundurpet Vridhachalam to Ulundurpet,11.9488394,79.4825715
17 Villupuram Edaikkal 45 40 Public crossing the road illegally,11.9401378,79.4861449
 Cuddalore Ramanatham,11.4074122,79.0085843
Cuddalore Veppur,11.7480419,79.7713687
RC Chettipatty junction,11.7612806,78.0573476
Santhiyur junction,11.5628417,78.1439442
Konganapuram pirivu road,11.5657171,77.9015486
Mangaran-gampalayam,11.452029,77.7938376
Akkamapet,11.4796301,77.8887234
Nagapattinam Sirkali Sirkali to Senthankudi ,11.2390878,79.7361217
A.V.R.Rountana,11.9452502,79.4886653
WestGingee bypass to Viluppuram Jn.,11.9401378,79.4861449
Deevattipatt,11.8694626,78.0841979
Omalur PSOmalr,11.7428803,78.0473128
Chettipatty,11.9323594,77.6922635
Jodukuli junction,11.9039098,78.053068
Salem Mallur PS 10 Kms,11.5446594,78.1421905
,,
Santhiyur junction,11.5628417,78.1439442
Edapady SH roa,11.4744536,77.869128
Konganapuram pirivu road,11.5657171,77.9015486
